,index,card_id,card_name,card_market_value
0,211,base4-1,Alakazam,37.01
1,212,base4-2,Blastoise,107.85
2,213,base4-3,Chansey,14.71
3,214,base4-4,Charizard,304.88
4,215,base4-5,Clefable,13.97
5,216,base4-6,Clefairy,10.79
6,217,base4-7,Gyarados,26.94
7,218,base4-8,Hitmonchan,21.13
8,219,base4-9,Magneton,12.14
9,221,base4-10,Mewtwo,41.13
10,222,base4-11,Nidoking,24.14
11,223,base4-12,Nidoqueen,22.86
12,224,base4-13,Ninetales,21.79
13,225,base4-14,Pidgeot,27.41
14,226,base4-15,Poliwrath,13.35
15,227,base4-16,Raichu,33.18
16,228,base4-17,Scyther,24.6
17,229,base4-18,Venusaur,73.77
18,231,base4-19,Wigglytuff,11.13
19,232,base4-20,Zapdos,24.31
20,233,base4-21,Beedrill,1.95
21,234,base4-22,Dragonair,8.58
22,235,base4-23,Dugtrio,3.3
23,236,base4-24,Electabuzz,3.17
24,237,base4-25,Electrode,3.87
25,238,base4-26,Kangaskhan,3.15
26,239,base4-27,Mr. Mime,6.03
27,241,base4-28,Pidgeotto,3.72
28,242,base4-29,Pinsir,3.35
29,243,base4-30,Snorlax,9.34
30,244,base4-31,Venomoth,3.31
31,245,base4-32,Victreebel,2.8
32,246,base4-33,Arcanine,2.07
33,247,base4-34,Butterfree,1.58
34,248,base4-35,Charmeleon,1.73
35,249,base4-36,Dewgong,1.23
36,251,base4-37,Dodrio,1.8
37,252,base4-38,Dratini,0.99
38,253,base4-39,Exeggutor,1.18
39,254,base4-40,Farfetch'd,0.52
40,255,base4-41,Fearow,1.32
41,256,base4-42,Growlithe,1.21
42,257,base4-43,Haunter,0.84
43,258,base4-44,Ivysaur,3.6
44,259,base4-45,Jynx,0.62
45,261,base4-46,Kadabra,1.23
46,262,base4-47,Kakuna,0.71
47,263,base4-48,Lickitung,1.28
48,264,base4-49,Machoke,0.55
49,265,base4-50,Magikarp,0.9
50,266,base4-51,Magmar,1.08
51,267,base4-52,Marowak,1.87
52,268,base4-53,Nidorina,0.62
53,269,base4-54,Nidorino,1.61
54,271,base4-55,Parasect,0.9
55,272,base4-56,Persian,1.76
56,273,base4-57,Poliwhirl,0.92
57,274,base4-58,Raticate,0.92
58,275,base4-59,Rhydon,1.8
59,276,base4-60,Seaking,0.59
60,277,base4-61,Seel,0.62
61,278,base4-62,Tauros,2.96
62,279,base4-63,Wartortle,1.74
63,281,base4-64,Weepinbell,1.21
64,282,base4-65,Abra,0.42
65,283,base4-66,Bellsprout,0.44
66,284,base4-67,Bulbasaur,2.24
67,285,base4-68,Caterpie,0.43
68,286,base4-69,Charmander,1.15
69,287,base4-70,Cubone,0.81
70,288,base4-71,Diglett,0.39
71,289,base4-72,Doduo,0.44
72,291,base4-73,Drowzee,0.44
73,292,base4-74,Exeggcute,0.5
74,293,base4-75,Gastly,0.47
75,294,base4-76,Goldeen,0.38
76,295,base4-77,Jigglypuff,0.74
77,296,base4-78,Machop,0.42
78,297,base4-79,Magnemite,0.39
79,298,base4-80,Meowth,0.55
80,299,base4-81,Metapod,0.43
81,2101,base4-82,Nidoran ♀,0.47
82,2102,base4-83,Nidoran ♂,0.59
83,2103,base4-84,Onix,0.83
84,2104,base4-85,Paras,0.38
